time,open,high,low,close,spread,volume
2018-06-28 00:00:00,1252.884,1254.229,1245.91,1248.581,0,81353
2018-06-29 00:00:00,1248.551,1255.573,1245.978,1252.533,0,79160
2018-07-01 00:00:00,1253.02,1254.149,1252.785,1253.365,0,2202
2018-07-02 00:00:00,1253.329,1253.576,1239.648,1242.103,0,75367
2018-07-03 00:00:00,1242.105,1256.819,1237.914,1254.923,0,76943
2018-07-04 00:00:00,1254.923,1261.034,1253.985,1256.914,0,59939
2018-07-05 00:00:00,1256.908,1259.69,1251.262,1257.276,0,79228
2018-07-06 00:00:00,1257.317,1258.7,1252.776,1254.736,0,70199
2018-07-08 00:00:00,1255.83,1256.555,1255.637,1256.397,0,1155
2018-07-09 00:00:00,1256.377,1265.847,1255.423,1258.36,0,69082
2018-07-10 00:00:00,1258.35,1260.294,1247.33,1255.913,0,75041
2018-07-11 00:00:00,1255.912,1256.024,1241.507,1242.673,0,82809
2018-07-12 00:00:00,1242.671,1248.51,1241.29,1245.993,0,72577
2018-07-13 00:00:00,1245.942,1248.029,1236.388,1241.512,0,71700
2018-07-15 00:00:00,1241.63,1242.103,1241.064,1241.118,0,1341
2018-07-16 00:00:00,1241.084,1245.518,1238.302,1240.685,0,66871
2018-07-17 00:00:00,1240.688,1244.927,1226.064,1227.119,0,78965
2018-07-18 00:00:00,1227.168,1229.081,1221.047,1227.335,0,75252
2018-07-19 00:00:00,1227.334,1228.95,1211.435,1223.425,0,86977
2018-07-20 00:00:00,1223.439,1232.205,1215.673,1231.498,0,86294
2018-07-22 00:00:00,1231.819,1233.267,1231.5,1232.849,0,2812
2018-07-23 00:00:00,1232.845,1235.039,1222.211,1224.211,0,79101
2018-07-24 00:00:00,1224.211,1229.421,1218.045,1225.12,0,79516
2018-07-25 00:00:00,1225.151,1234.107,1223.213,1233.042,0,83144
2018-07-26 00:00:00,1233.06,1235.133,1222.31,1224.085,0,81832
2018-07-27 00:00:00,1224.066,1227.256,1217.538,1222.619,0,71534
2018-07-29 00:00:00,1223.091,1223.572,1222.006,1222.439,0,1397
2018-07-30 00:00:00,1222.455,1225.028,1219.0,1222.479,0,63080
2018-07-31 00:00:00,1222.503,1228.45,1214.003,1223.896,0,77859
2018-08-01 00:00:00,1223.9,1224.683,1215.741,1217.771,0,74675
2018-08-02 00:00:00,1217.796,1221.032,1207.015,1208.352,0,77261
2018-08-03 00:00:00,1208.351,1219.955,1204.451,1213.262,0,70839
2018-08-05 00:00:00,1213.69,1215.044,1213.516,1214.79,0,1573
2018-08-06 00:00:00,1214.789,1217.817,1206.004,1208.687,0,70535
2018-08-07 00:00:00,1208.691,1216.098,1207.771,1212.388,0,67610
2018-08-08 00:00:00,1212.391,1215.755,1206.202,1213.255,0,69448
2018-08-09 00:00:00,1213.266,1217.244,1210.744,1212.093,0,70764
2018-08-10 00:00:00,1212.077,1217.055,1205.726,1211.004,0,82611
2018-08-12 00:00:00,1212.46,1213.801,1211.927,1212.318,0,2155
2018-08-13 00:00:00,1212.291,1212.562,1191.497,1192.799,0,88892
2018-08-14 00:00:00,1192.767,1198.65,1192.057,1193.887,0,76417
2018-08-15 00:00:00,1193.888,1194.128,1173.089,1173.75,0,87899
2018-08-16 00:00:00,1173.75,1181.96,1160.182,1175.328,0,93001
2018-08-17 00:00:00,1175.324,1184.952,1171.9,1184.73,0,79434
2018-08-19 00:00:00,1183.23,1183.792,1182.915,1183.535,0,1707
2018-08-20 00:00:00,1183.519,1191.251,1182.868,1191.173,0,71674
