time,open,high,low,close,spread,volume
2022-07-05 07:15:00,1807.916,1808.172,1805.501,1806.774,200,1184
2022-07-05 07:30:00,1806.806,1807.675,1806.144,1806.367,200,1036
2022-07-05 07:45:00,1806.398,1807.444,1806.014,1806.113,200,964
2022-07-05 08:00:00,1806.098,1806.098,1802.122,1803.348,200,1390
2022-07-05 08:15:00,1803.317,1804.013,1802.396,1802.679,200,1259
2022-07-05 08:30:00,1802.685,1803.545,1802.189,1803.206,200,1140
2022-07-05 08:45:00,1803.203,1803.39,1800.579,1800.934,200,1355
2022-07-05 09:00:00,1800.941,1803.301,1800.319,1802.938,200,1346
2022-07-05 09:15:00,1802.918,1805.354,1802.56,1803.982,200,1158
2022-07-05 09:30:00,1804.019,1805.066,1802.995,1803.758,200,1099
2022-07-05 09:45:00,1803.754,1803.801,1802.081,1803.491,200,1097
2022-07-05 10:00:00,1803.523,1803.523,1801.807,1802.422,200,832
2022-07-05 10:15:00,1802.449,1803.674,1801.828,1803.166,200,851
2022-07-05 10:30:00,1803.135,1803.305,1801.288,1801.891,200,756
2022-07-05 10:45:00,1801.892,1802.172,1800.729,1801.149,200,760
2022-07-05 11:00:00,1801.174,1802.709,1800.551,1800.953,200,967
2022-07-05 11:15:00,1800.95,1801.207,1798.252,1798.586,200,1460
2022-07-05 11:30:00,1798.584,1799.955,1798.063,1798.323,200,1220
2022-07-05 11:45:00,1798.324,1799.479,1797.454,1798.11,200,1328
2022-07-05 12:00:00,1798.14,1800.075,1796.283,1799.574,200,1636
2022-07-05 12:15:00,1799.586,1804.355,1798.197,1800.502,200,2711
2022-07-05 12:30:00,1800.533,1804.668,1799.065,1800.357,200,2739
2022-07-05 12:45:00,1800.392,1801.134,1798.377,1800.374,200,2017
2022-07-05 13:00:00,1800.364,1800.395,1793.514,1794.254,200,2806
2022-07-05 13:15:00,1794.223,1796.317,1793.291,1793.702,200,2250
2022-07-05 13:30:00,1793.735,1795.144,1788.795,1789.172,200,3414
2022-07-05 13:45:00,1789.202,1790.474,1785.344,1786.241,200,3191
2022-07-05 14:00:00,1786.206,1786.206,1766.044,1774.357,200,7621
2022-07-05 14:15:00,1774.377,1775.486,1771.196,1772.177,200,2710
2022-07-05 14:30:00,1772.207,1775.89,1770.737,1773.305,200,2281
